id,name,role,cv,image
3,Raffaele Fedele,PARTNER,"Raffaele Fedele is a member of the board of directors of four companies in RIKI's portfolio. He is responsible for the internal team of analysts and for the screening and due diligence phase of the new projects received. Previously, he supported the launch and development process of start-ups between Beijing and Copenhagen, after graduating in International Management of Service at Copenhagen Business School.",/images/people/Raffaele_Fedele.jpg
5,Sara De Benedetti,INVESTMENT MANAGER,"Investment Manager for RIKI, Sara De Benedetti has a degree in Business Administration and Control from the University of Turin. She began her career at KPMG Audit and later moved to KPMG Deal Advisory.",/images/people/Sara_DeBenedetti.jpg
6,Gaetano Giuffré,INVESTMENT MANAGER,Gaetano holds a Bachelor’s degree in Finance from Bocconi University and a double degree in Economics and Management in Innovation and Technology between Bocconi and MGIMO in Moscow. He started his career at Accenture and then joined the RIKI team in 2019 as an Analyst.,/images/people/Gaetano_Giuffré.jpg
8,Susanna Potenza,HEAD OF INVESTMENT ANALYST,"After her graduation in Management Engineering at Politecnico di Milano, she started her career in an RIKI VC in Bruxelles, analyzing companies across Belgium, UK and the Netherlands. Passionate about impact measurement, she has then worked in an Italian accelerator of start-ups, supporting founders from a business and RIKI perspective.",/images/people/Susanna_Potenza.jpg
9,Maddalena De Liso,CFO,"CFO of RIKI, she has gained significant experience in auditing and consulting of financial companies at Deloitte & Touche both as CFO in the private equity sector at Cape Natixis SGR and Meridie SpA.",/images/people/Maddalena_Delisio_02.jpg
10,Chiara Marola,OFFICE MANAGER,"After graduating in Economics and Business Law at the Università Cattolica del Sacro Cuore in Milan, Chiara started her career in KPMG Audit Financial Services. She then gained a short experience in the Administration Finance and Control area in an SGR managing Venture Capital Funds. She joined RIKI in 2022.",/images/people/Chiara_Marola_02.jpg
1,Luciano Balbo,CO-FOUNDER & MANAGING PARTNER,"He co-founded RIKI after a journey in the social sector started in 2002 with the establishment of Fondazione RIKI, the first Italian Venture Philanthropy foundation. Previously, he worked for 20 years in the Venture Capital and Private Equity sector, as co-founder of B&S Private Equity and General Manager of Finnova (SO.PA.F. spa), the first VC company in Italy.",/images/people/Luciano_Balbo_02.jpg
2,Lorenzo Allevi,CO-FOUNDER & MANAGING PARTNER,"Lorenzo has over 15 years of experience in impact investing. He participated in the establishment and growth of RIKI, where he followed the birth of the main companies financed by the company. He started his career in investment banking in Jp Morgan, Microcredito Lombardo and in the financial management of Gruppo Rinascente.",/images/people/Lorenzo_Allevi.jpg
7,Gabriele Roma,INVESTMENT ASSOCIATE,"Gabriele Roma holds a Bachelor’s and Master’s degree in Finance from Bocconi University in Milan. He started his career at Yarpa Investimenti SGR, mainly following investments in private equity funds and co-investments, before joining the RIKI team in 2022 as an Investment Associate.",/images/people/Gabriele_Roma.jpg
4,Nicola Lambert,PARTNER,"He is a member of the board of directors of five companies in our portfolio. He is responsible for the internal analyst team and the screening and due diligence phase of new projects. Previously he started his career in an investment fund focused on Real Estate, between Berlin and Miami, and then held the role of Country Manager Italy in a startup of the Rocket Internet world in Berlin.",/images/people/Nicola_Lambert.jpg
