id,name,info,image,isMR,person_id,link,company_desc,desc_content,desc_data
6,Evolvere,Leading company in the field of distributed generation of energy saving,prj-6,t,6,https://www.evolvere.com/it,Company specialized in the distributed generation and energy saving sector,"The company promotes 360° services to prosumers, guaranteeing savings and efficiency in energy consumption, and allowing them to use their own plants for the self-consumption of electricity and the resale of excess energy to the grid.","{11K,""residential implants fueled by renewable sources"",57mw,""total implants power"",170mln,""kilograms of CO2 saved""}"
1,Cloud-R,The only registry for rare disease patients that offers a comprehensive and easily adaptable solution,prj-1,f,1,https://www.cloud-r.eu/,A company that develops digital solutions for data collection and medication adherence for rare disease patients.,"In the rare disease market, there is a lack of information’s sharing between medical centers, researchers, and patients, as each entity works independently and in isolation from each other.\r\n\r\nCloud-R has developed a registry for rare diseases that collects and organizes globally available information on the diseases, improving knowledge and collaboration between research centers.","{87%,""patient adherence rate to medication"",520h,""total development time"",800€/mese,""average salary for software engineers""}"
3,Synapta,The most comprehensive database and search engine for Italian public contracts for transparency of public procurement,prj-3,f,3,https://www.contrattipubblici.org/,The most comprehensive database and search engine of Italian public contracts for transparency in public procurement.,"Data related to public contracts stipulated between contracting authorities and private companies are of poor quality, incomplete, inhomogeneous and fragmented, causing inefficiencies both for suppliers who want to work with the Italian public administration and for the PA itself.\r\n\r\nSynapta has created the first online platform of business intelligence in the public administration market, which allows to aggregate, analyze and compare data in public contracts in order to improve competition and accessibility of the public procurement market.","{92%,""public contracts successfully tracked"",680h,""hours of data processing"",1200€/mese,""average salary for data analysts""}"
7,iRaiser,IRaiser is a digital fundraising platform for non-profit organizations,prj-7,t,7,https://www.iraiser.com/it/,Digital fundraising platform for non-profit organizations.,"In the European market many non-profits receive less and less support from governments and institutions, while 50% of their funding depends on donations from people who are increasingly inclined to go online.\r\n\r\niRaiser is a white label SaaS provider dedicated to charities, schools, universities, museums and other social or nonprofit institutions for fundraising through automated and optimized solutions.","{88%,""success rate of fundraising campaigns"",420h,""hours of platform development"",900€/mese,""average salary for customer support""}"
8,KeyCrime,Software based on investigative techniques for studying crime series and their prevention,prj-8,f,8,https://www.keycrime.com/,Software based on investigative techniques for studying crime series and their prevention.,"In a context of increasing difficulties for police departments to pursue and contain serial crime phenomena, there are also risks to the safety and security of agents operating on the territory.\r\n\r\nKeyCrime, through artificial intelligence algorithms, allows to analyze serial crimes in multiple contexts and locations, reducing costs for the Judicial Authority and increasing collective security.","{91%,""crime series solved using the software"",600h,""total software development time"",1100€/mese,""minimum compensation for crime analysts""}"
9,Koiki,Spanish last mile delivery company providing employment inclusion for people with disabilities,prj-9,t,9,https://koiki.es/,Spanish last mile delivery company providing employment inclusion for people with disabilities.,"People with disabilities struggle to access the labor market, with serious consequences for their social inclusion and economic independence.\r\n\r\nKoiki, operating in Spain, offers home delivery services by appointment through a network of social cooperatives that employ people with disabilities.","{83%,""on-time delivery rate"",320h,""hours of driver training"",800€/mese,""average salary for delivery drivers""}"
10,Limes,"Development of ""turnkey"" photovoltaic installations without public subsidies, on unused land in southern Italy",prj-10,f,10,https://www.limes-re.com/,"Development of “turnkey” photovoltaic installations without public subsidies, on unused land in southern Italy.","In recent years, the Italian market of renewable energies has been facing continuous stops due to the lack of public incentives that should have supported its development.\r\n\r\nLimes, in this context, promotes the development of “turnkey” grid parity photovoltaic installations, promoting economic development through the involvement of local partners.","{96%,""energy self-sufficiency achieved by installations"",800h,""hours of engineering design"",1500€/mese,""average salary for solar energy engineers""}"
11,Raremark,Innovative platform for data collection of patients with rare diseases,prj-11,f,3,https://www.raremark.com/,An innovative platform for collecting data from rare disease patients.,"\r\nIn the rare disease market, information sharing is scarce, patients are often isolated from each other, and research centers and specialists struggle to gather data and information needed to develop new drugs to treat the diseases.\r\n\r\nRareMark has created a social network for rare disease patients, allowing families to keep update with the latest research and research centers and to obtain anonymous data for the development of drugs needed to treat rare diseases.","{95%,""patient engagement rate"",480h,""hours of platform development"",1000€/mese,""minimum compensation for patient support""}"
12,SocialFare,The first incubator dedicated to social impact companies in Italy,prj-12,t,4,https://socialfare.org/,The first incubator dedicated to social impact companies in Italy.,"In Italy, there were no incubators or accelerators able to offer a growth path to social impact companies.\r\n\r\nSocialFare is an accelerator specialized in this sector, with dedicated growth paths and a national network of business angels and investors.","{89%,""success rate of incubated startups"",560h,""hours of mentorship provided"",1200€/mese,""average salary for startup advisors""}"
2,Chi Odia Paga,Chi Odia Paga is the first legaltech platform in Italy that offers accessible and immediate legal assistance to victims of online hate,prj-2,f,2,https://www.sportclubby.com/it-IT/,Chi Odia Paga is the first legaltech platform in Italy that offers accessible and immediate legal assistance to victims of online hate.,"As the number of incidents of hate speech, racism, homophobia, anti-Semitism and misogyny on social media and digital platforms grows, Chi Odia Paga has developed a “legaltech” platform that enables victims of online violence and hate speech to defend themselves quickly and affordably.\r\n\r\nThanks to Chi Odia Paga, victims of online hate crimes can now more easily obtain accessible and immediate online legal services. The support provided by the platform includes digital identity defense, user awareness development, and pre-trial support.","{95%,""successful resolution of hate speech cases"",350h,""hours of legal research conducted"",1000€/mese,""minimum compensation for victims""}"
5,Erbert,"Chain of stores that through the sell of high-quality, affordable and fresh products promotes food culture",prj-5,f,5,https://www.erbert.it/,Erbert promotes a culture of healthy eating for the well-being and health of people through a chain of physical stores and digital channels that primarily sell fruits and vegetables and ready-to-eat meals prepared by the company’s chefs and nutritionists.,"The company has created a real “food system” of integrated services to promote the well-being and health of people through information, education and the online and retail sale of healthy, tasty and quality food products in concept stores.\r\n\r\nThe presence of a dedicated laboratory and specialized professionals, combined with the experience of the management team in the restaurant and retail sector, allows the company to respond to any dietary requirement and to propose nutritional plans tailored to the consumers’ needs.","{100%,""biodegradable packaging used for aliments"",10K,""people who visited the first store"",4K,""weekly balanced meals sold""}"
15,Wonderful Italy,Destination management companies for territorial development of secondary areas through tourism,prj-15,f,7,https://wonderfulitaly.eu/it/,Destination management companies for territorial development of secondary areas through tourism,"Wonderful Italy promotes the development of widespread hospitality and professional tourist accommodation through a strong territorial presence represented by the “hubs”, companies founded by the team or acquired that allow you to network with the actors present and enhance local excellence.\r\n\r\nThanks to Wonderful Italy were born new local activities in the South and in regions and cities characterized by high unemployment, simultaneously to the seasonal adjustment of tourist flows in the smaller towns and the enhancement of environmental, natural and historical local heritage.","{300,""Experiences developed by WI’s network"",450mila,""total presences registered"",81%,""served cities in which the per capita income is lower than national average""}"
4,DigitAlly,Innovative school to accelerate youth entry into the workforce,prj-4,f,4,https://digit-ally.it/,Innovative school to accelerate youth entry into the workforce.,"The very high rate of youth unemployment in Italy clashes with the difficulty of companies to find people with the necessary digital skills and soft skills.\r\n\r\nDigitAlly promotes the entry of young people into the world of work through a training program dedicated to the acquisition of digital skills and the development of individual soft skills, followed by an immediate paid work experience.\r\n\r\nTraining focuses on teaching the practical digital skills most in demand in the marketplace, currently digital marketing and data analytics, and improving individual soft skills.","{94%,""student placed at the end of the courses"",440h,""annual amount taught"",600€/mese,""minimum internship retribution""}"
13,TrapView,Slovenian company that has developed an automatic system for monitoring and preventing the spread of pests,prj-13,t,5,https://www.trapview.com/,Company that has created an automatic system for monitoring and preventing the spread of insect pests.,"Out of more than five million tons of pesticides used in agricultural crops annually, only 1% turn out to be effective and 14% of crops are lost to insect pests, resulting in higher costs for farmers and an increased risk of pesticide residues in the production.\r\n\r\nIn this context, TrapView has created an automatic system to monitor and predict the spread of insect pests, contributing to the reduction of pesticide use and lowering the cost of agricultural products, with greater protection for the health and nutrition of consumers.","{93%,""effectiveness in pest control"",380h,""hours of system development"",900€/mese,""minimum compensation for pest control experts""}"
14,SportClubby,The first social management system that combines all sports in a single app,prj-14,f,6,https://www.sportclubby.com/it-IT/,The first social management system that combines all sports in a single app.,"Italians do physical activity on average less than once a week, with negative consequences on their individual and collective physical health and wellbeing.\r\n\r\nSportClubby has developed a software aimed at clubs, associations and consumers that leads to an increase in the frequency of sporting activities thanks to ease of use and the promotion of lesser-known sports.","{90%,""user satisfaction rate"",500h,""hours of app development"",1100€/mese,""average salary for app developers""}"
